cluster;n_microred;microred;name;lat;long;y_proj;x_proj;;;
7;10;ALTO SELVA ALEGRE;C.S. INDEPENDENCIA;-16.36676131;-71.52484894;-1937440.619;2840042.48;;;
8;10;ALTO SELVA ALEGRE;C.S. ALTO SELVA ALEGRE;-16.3810226;-71.51888804;-1939191.044;2840532.528;;;
9;10;ALTO SELVA ALEGRE;P.S. APURIMAC;-16.37193397;-71.50963466;-1938239.863;2841700.597;;;
9;10;ALTO SELVA ALEGRE;P.S. LEONES DEL MISTI;-16.36985871;-71.50707751;-1938028.263;2842017.717;;;
7;10;ALTO SELVA ALEGRE;P.S. SAN JUAN BAUTISTA;-16.36875401;-71.51951073;-1937741.904;2840621.942;;;
8;10;ALTO SELVA ALEGRE;P.S. HEROES DEL CENEPA;-16.37629682;-71.52637803;-1938541.559;2839744.75;;;
28;19;MARISCAL CASTILLA;C.S. MARISCAL CASTILLA;-16.38923864;-71.56912282;-1939524.064;2834729.356;;;
28;19;MARISCAL CASTILLA;P.S. SEMI RURAL PACHACUTEC;-16.3941152;-71.57301406;-1940047.876;2834224.733;;;
28;19;MARISCAL CASTILLA;P.S. JOSE SANTOS ATAHUALPA;-16.39834942;-71.56820649;-1940605.58;2834714.599;;;
28;19;MARISCAL CASTILLA;P.S. EL CURAL;-16.40752764;-71.60830986;-1941179.592;2830049.525;;;
21;18;CERRO COLORADO;C.S. CERRO COLORADO;-16.37722517;-71.55818343;-1938250.576;2836126.03;;;
21;18;CERRO COLORADO;P.S. ALTO LIBERTAD;-16.38419217;-71.57114221;-1938906.019;2834566.097;;;
31;17;CHARACATO;C.S. CHARACATO;-16.46823872;-71.48538256;-1949860.833;2843189.544;;;
;17;CHARACATO;C.S. POLOBAYA;-16.566024;-71.36860706;-1962841.638;2855135.072;;;
30;17;CHARACATO;P.S. SABANDIA;-16.45057115;-71.49585697;-1947652.466;2842234.046;;;
31;17;CHARACATO;P.S. MOLLEBAYA;-16.48665758;-71.4665008;-1952264.536;2845087.774;;;
31;17;CHARACATO;P.S. MACHAHUAY;-16.49659688;-71.49955961;-1953012.518;2841209.794;;;
;17;CHARACATO;P.S. YARABAMBA;-16.54689137;-71.47558864;-1959225.671;2843263.435;;;
;17;CHARACATO;P.S. QUEQUEÑA;-16.55672079;-71.45153723;-1960687.17;2845858.91;;;
;21;CHIGUATA;C.S. CHIGUATA;-16.4027292;-71.39237012;-1943342.391;2854600.407;;;
34;4;PEDREGAL;C.S. LA COLINA;-16.3417834;-72.17451936;-1926492.238;2766807.288; ; ; 
36;4;PEDREGAL;C.S. SANDRITA PEREZ;-16.36201906;-72.19029118;-1928669.856;2764771.155; ; ; 
;4;PEDREGAL;P.S. B-2;-16.33579217;-72.25750735;-1924789.037;2757504.567; ; ; 
;4;PEDREGAL;P.S. B-1;-16.32092348;-72.23852585;-1923277.889;2759834.722; ; ; 
