type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,CL01_PP_014,-16.439008235059,-71.53014070121834,-1945860.67765479,2838498.97298207, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_015,-16.43973930292184,-71.53093637829599,-1945936.50223682,2838399.211233, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_016,-16.44143000146855,-71.53379426598043,-1946099.00460627,2838053.13259218, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_017,-16.44366662539263,-71.53557356635289,-1946339.24690811,2837822.18058226, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_018,-16.44317756777001,-71.53194500402962,-1946327.62391507,2838239.88661447, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_019,-16.44171713974039,-71.52796692284063,-1946206.32355641,2838709.93775303, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_020,-16.4433777415797,-71.52658446231794,-1946418.84535828,2838844.91342075, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_021,-16.44471943493634,-71.52618063631807,-1946581.54644024,2838873.125414, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_022,-16.44588548043658,-71.52686028028094,-1946709.92649212,2838780.81792772, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_023,-16.44533996213966,-71.52415757533069,-1946679.99734579,2839094.32864453, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_024,-16.44391830890083,-71.52295049467224,-1946528.25578296,2839249.77585692, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_025,-16.44420625090377,-71.52154088127617,-1946579.89172817,2839405.79836862, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_026,-16.44423226830986,-71.51936751683779,-1946610.41472814,2839651.83116069, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_027,-16.44548027794224,-71.52231358379237,-1946719.78151604,2839301.52200048, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_028,-16.4471253133437,-71.51991251622097,-1946943.3641642,2839552.1584912, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_029,-16.44666368730418,-71.52299534190657,-1946850.1751091,2839208.74213657, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_030,-16.44874931755884,-71.52232030197183,-1947103.69502664,2839257.94722192, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_031,-16.45096207940392,-71.52233954560094,-1947363.37331926,2839226.78169172, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_032,-16.45188499523406,-71.52445752152948,-1947445.01005825,2838974.61312314, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_033,-16.45138037538765,-71.5243573905377,-1947387.00150475,2838992.57293645, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_034,-16.4497636766828,-71.52434583433096,-1947197.24479805,2839015.0578593, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_035,-16.44822743750441,-71.5232419166839,-1947030.74418769,2839160.3121007, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_036,-16.44715739563144,-71.52437215760126,-1946890.76887616,2839046.20603144, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_037,-16.44789987560862,-71.52535132358364,-1946965.60946678,2838925.48977545, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_038,-16.44899062680077,-71.52628272332205,-1947081.9620381,2838805.62868778, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_039,-16.44752340165621,-71.52735884529002,-1946896.02088471,2838702.85864069, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_040,-16.44627856132318,-71.52946742122748,-1946723.16075087,2838480.14183456, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_041,-16.44609619981956,-71.53260061498919,-1946662.16334238,2838127.37449667, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_042,-16.44695984507209,-71.53512963438683,-1946731.66404916,2837829.40689258, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_043,-16.44738563993742,-71.53577163923117,-1946773.56847761,2837751.06422947, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_044,-16.44837682722351,-71.53522292151018,-1946896.91975385,2837800.28832576, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_045,-16.4476937685314,-71.53419381565648,-1946829.68765228,2837925.87576944, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_046,-16.4475139102108,-71.53282799648821,-1946825.8132618,2838083.04483094, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_047,-16.44765126978012,-71.53173160079042,-1946855.79659662,2838205.52368758, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_048,-16.44777897172642,-71.53013270538278,-1946890.9947627,2838385.08855094, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_049,-16.44760176236235,-71.52852607921243,-1946890.477529,2838569.52306525, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_050,-16.45024816746049,-71.52704828262698,-1947220.00077589,2838702.38291189, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_051,-16.45159488574566,-71.5267938101972,-1947381.40433266,2838713.59103817, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_052,-16.44965475738368,-71.52888405940061,-1947127.10076489,2838502.06557623, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_053,-16.45107219280735,-71.52968868079164,-1947283.42590583,2838392.30193093, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_054,-16.45248284009909,-71.53105483784866,-1947431.85679637,2838218.97902273, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_055,-16.45356164691395,-71.52848540846536,-1947591.04274306,2838496.09092436, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_056,-16.45369726807703,-71.51797556567904,-1947739.84053587,2839685.62192602, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_057,-16.4552780061647,-71.51647022538312,-1947944.56388053,2839835.54244403, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_058,-16.45666143746661,-71.51559882925683,-1948118.09493901,2839916.18514236, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_059,-16.45570239803586,-71.5202385860853,-1947946.7575536,2839402.82407807, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_060,-16.45766190104321,-71.51878494740593,-1948195.31561089,2839541.91547589, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_061,-16.45941134561372,-71.5182739892829,-1948407.27868708,2839576.90128761, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_062,-16.46049361443381,-71.51935642613327,-1948520.71556667,2839440.02000899, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_063,-16.45796252131391,-71.52102357976308,-1948202.31524526,2839284.2250117, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_064,-16.45681971783828,-71.5219659854673,-1948056.15927199,2839192.3797863, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_065,-16.45800656345031,-71.52391895515915,-1948170.87479543,2838955.46035179, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_066,-16.45926437770576,-71.5222353299438,-1948339.91170862,2839129.81257654, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_067,-16.46033115525398,-71.52140295619986,-1948475.74640235,2839210.17865276, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_068,-16.45992196788575,-71.52387822123197,-1948396.37761317,2838934.97728817, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_069,-16.46233453148481,-71.5230576260589,-1948690.14067892,2838996.36855283, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_070,-16.46184426460781,-71.52476428497525,-1948610.96845338,2838809.35329694, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_071,-16.46060083183059,-71.52557287478223,-1948454.68825388,2838733.99924398, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
