UNICODE;P;D;L;V;lat;long;y_proj;x_proj
6.92.69.7274;6;92;69;7274;-16.35634363;-72.22272473;-1927613.383;2761177.551
6.92.69.7275;6;92;69;7275;-16.35612946;-72.22222648;-1927594.34;2761236.525
6.92.69.7276;6;92;69;7276;-16.3562827;-72.22215501;-1927613.136;2761242.681
6.92.69.7277;6;92;69;7277;-16.35643228;-72.22206606;-1927631.715;2761250.86
6.92.69.7278;6;92;69;7278;-16.35658266;-72.22196278;-1927650.56;2761260.647
6.92.69.7279;6;92;69;7279;-16.35604902;-72.22292409;-1927576.498;2761158.712
6.92.69.7280;6;92;69;7280;-16.35589537;-72.22302564;-1927557.291;2761149.162
6.92.69.7281;6;92;69;7281;-16.35573101;-72.22312668;-1927536.837;2761139.803
6.92.69.7282;6;92;69;7282;-16.35558824;-72.22320407;-1927519.195;2761132.846
6.92.69.7283;6;92;69;7283;-16.35544806;-72.22329556;-1927501.685;2761124.262
6.92.69.7284;6;92;69;7284;-16.35527131;-72.22338508;-1927479.92;2761116.36
6.92.69.7285;6;92;69;7285;-16.35498093;-72.22284505;-1927452.463;2761181.007
6.92.69.7286;6;92;69;7286;-16.35515572;-72.22275646;-1927473.987;2761188.83
6.92.69.7287;6;92;69;7287;-16.35532843;-72.22266353;-1927495.321;2761197.168
6.92.69.7288;6;92;69;7288;-16.35548869;-72.22255974;-1927515.328;2761206.889
6.92.69.7289;6;92;69;7289;-16.35565514;-72.22248414;-1927535.72;2761213.348
6.92.69.7290;6;92;69;7290;-16.35580705;-72.22239552;-1927554.568;2761221.461
6.92.69.7291;6;92;69;7291;-16.35498251;-72.22352572;-1927444.425;2761104.083
6.92.69.7292;6;92;69;7292;-16.35480912;-72.22362197;-1927422.972;2761095.378
6.92.69.7293;6;92;69;7293;-16.35466141;-72.22372296;-1927404.467;2761085.816
6.92.69.7294;6;92;69;7294;-16.35449722;-72.22381967;-1927384.084;2761076.943
6.92.69.7295;6;92;69;7295;-16.3543473;-72.22390464;-1927365.514;2761069.218
6.92.69.7296;6;92;69;7296;-16.35406151;-72.22338144;-1927338.39;2761131.907
6.92.69.7297;6;92;69;7297;-16.35422808;-72.22328832;-1927359.007;2761140.344
6.92.69.7298;6;92;69;7298;-16.35438381;-72.22320291;-1927378.263;2761148.046
6.92.69.7299;6;92;69;7299;-16.35455384;-72.2231062;-1927399.329;2761156.845
6.92.69.7300;6;92;69;7300;-16.3547172;-72.22300893;-1927419.621;2761165.791
