ident;lat;long;y_proj;x_proj;new_seg
1.11.20-9; ; ;-1.516416327;20763369.87; 
1.11.20-9;-16.37925632;-71.51316058;-1939055.699;2841205.136;False
1.11.20-9;-16.37942736;-71.51281838;-1939080.105;2841241.714;False
1.11.20-9;-16.37925131;-71.51272934;-1939060.544;2841254.109;False
1.11.20-9;-16.37913744;-71.51290736;-1939044.924;2841235.406;False
1.11.20-9;-16.37908258;-71.51287154;-1939038.93;2841240.185;False
1.11.20-9;-16.37906323;-71.51292961;-1939035.925;2841233.851;False
1.11.20-9;-16.37908554;-71.51305118;-1939037.014;2841219.772;False
1.11.20-9;-16.379135;-71.51318969;-1939041.08;2841203.418;False
1.11.20-9;-16.37920076;-71.51323438;-1939048.242;2841197.491;False
1.11.20-10; ; ;-1.516416327;20763369.87; 
1.11.20-10;-16.3797556;-71.51302457;-1939116.069;2841214.044;False
1.11.20-10;-16.37945475;-71.51283356;-1939083.132;2841239.635;False
1.11.20-10;-16.37935984;-71.5129973;-1939069.918;2841222.303;False
1.11.20-10;-16.37916322;-71.51336176;-1939042.227;2841183.534;False
1.11.20-10;-16.37944348;-71.51360108;-1939072.137;2841152.735;False
1.11.20-11; ; ;-1.516416327;20763369.87; 
1.11.20-11;-16.37980852;-71.51367239;-1939114.125;2841139.883;False
1.11.20-11;-16.37986299;-71.51358692;-1939121.6;2841148.865;False
1.11.20-11;-16.37997867;-71.51342154;-1939137.275;2841166.111;False
1.11.20-11;-16.38008768;-71.51325047;-1939152.236;2841184.09;False
1.11.20-11;-16.37977859;-71.51306029;-1939118.32;2841209.693;False
1.11.20-11;-16.37965464;-71.51327055;-1939101.109;2841187.465;False
1.11.20-11;-16.37954661;-71.51345515;-1939086.091;2841167.939;False
1.11.20-11;-16.3794667;-71.51361268;-1939074.719;2841151.115;False
1.11.20-11;-16.37975587;-71.51381301;-1939106.167;2841124.621;False
1.11.21-1; ; ;-1.516416327;20763369.87; 
1.11.21-1;-16.3790458;-71.51201782;-1939045.367;2841337.489;False
1.11.21-1;-16.37805054;-71.51116443;-1938939.192;2841447.267;False
1.11.21-1;-16.37779015;-71.51151614;-1938904.169;2841410.776;False
1.11.21-1;-16.3782577;-71.51193054;-1938953.877;2841357.674;False
1.11.21-1;-16.37875107;-71.51234867;-1939006.571;2841303.812;False
1.11.21-2; ; ;-1.516416327;20763369.87; 
1.11.21-2;-16.37755796;-71.51174494;-1938874.008;2841387.857;False
1.11.21-2;-16.37764716;-71.5116445;-1938885.753;2841398.084;False
1.11.21-2;-16.3777886;-71.51146323;-1938904.655;2841416.796;False
1.11.21-2;-16.37802788;-71.51113866;-1938936.855;2841450.485;False
1.11.21-2;-16.37772473;-71.51087214;-1938904.599;2841484.669;False
1.11.21-2;-16.37734934;-71.51139261;-1938853.938;2841430.54;False
1.11.21-2;-16.37722979;-71.51152742;-1938838.194;2841416.811;False
1.11.21-2;-16.37747395;-71.511738;-1938864.226;2841389.74;False
1.11.21-3; ; ;-1.516416327;20763369.87; 
1.11.21-3;-16.37702303;-71.51135921;-1938816.023;2841438.587;False
1.11.21-3;-16.37719619;-71.51147072;-1938834.961;2841423.679;False
1.11.21-3;-16.37747163;-71.51112601;-1938871.665;2841459.18;False
1.11.21-3;-16.37768505;-71.51084217;-1938900.315;2841488.586;False
1.11.21-3;-16.37738353;-71.51058734;-1938868.101;2841521.425;False
1.11.21-3;-16.37686903;-71.51121427;-1938799.757;2841457.036;False
1.11.21-4; ; ;-1.516416327;20763369.87; 
1.11.21-4;-16.37707261;-71.51089347;-1938827.716;2841490.762;False
1.11.21-4;-16.37733554;-71.51054903;-1938862.946;2841526.395;False
1.11.21-4;-16.37702436;-71.51026751;-1938829.935;2841562.387;False
1.11.21-4;-16.37679374;-71.51055014;-1938799.279;2841533.341;False
