"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.18.29.83N",1,18,"29","83N",-16.4097614202539,-71.5518086495882,-1942152.21728387,2836424.77387967
"1.18.29.83O",1,18,"29","83O",-16.4097290581895,-71.5518821117688,-1942147.49123683,2836416.86797351
"1.18.29.83P",1,18,"29","83P",-16.40955888031,-71.5516264945646,-1942130.72241544,2836448.06650206
"1.18.29.83Q",1,18,"29","83Q",-16.4096102497532,-71.5515631059426,-1942137.55407276,2836454.58244693
"1.18.29.83R",1,18,"29","83R",-16.4097118636718,-71.5513289027138,-1942152.43807116,2836479.80748839
"1.18.29.83S",1,18,"29","83S",-16.409751380354,-71.5512632688606,-1942157.90590115,2836486.73259491
"1.18.29.83T",1,18,"29","83T",-16.4098369908879,-71.551072478607,-1942170.36365394,2836507.24484584
"1.18.29.83U",1,18,"29","83U",-16.4099065174307,-71.5509844520646,-1942179.63822482,2836516.31698367
"1.18.29.83V",1,18,"29","83V",-16.4099379834036,-71.5509272137838,-1942184.05478629,2836522.39534215
"1.18.29.83W",1,18,"29","83W",-16.4099840901,-71.5508730249147,-1942190.15253528,2836527.93697731
"1.18.29.85A",1,18,"29","85A",-16.4101175547347,-71.5506764200386,-1942208.30419131,2836548.48401121
"1.18.20.89A",1,18,"20","89A",-16.4100062765935,-71.5504603292828,-1942197.95567016,2836574.43338418
"1.18.29.89B",1,18,"29","89B",-16.4099429235346,-71.5505679007193,-1942189.15998855,2836563.06496796
"1.18.29.89C",1,18,"29","89C",-16.4099005145367,-71.5506448928058,-1942183.20935177,2836554.88996001
"1.18.29.89D",1,18,"29","89D",-16.4098732910425,-71.5507055023579,-1942179.24860732,2836548.3740528
"1.18.29.89E",1,18,"29","89E",-16.4098251198105,-71.5507770357596,-1942172.68994038,2836540.89305467
"1.18.29.89F",1,18,"29","89F",-16.4097952758614,-71.5508283641053,-1942168.53830891,2836535.46351319
"1.18.29.89G",1,18,"29","89G",-16.4097663919537,-71.5508755026678,-1942164.55220296,2836530.49642618
"1.18.29.89H",1,18,"29","89H",-16.409737893312,-71.5509151971313,-1942160.70509521,2836526.36822344
"1.18.29.89I",1,18,"29","89I",-16.4097144982015,-71.5509537472816,-1942157.47182132,2836522.30316064
"1.18.29.89J",1,18,"29","89J",-16.409658408709,-71.5510285527756,-1942149.94195918,2836514.55451352
"1.18.29.89K",1,18,"29","89K",-16.409628932434,-71.55108613307,-1942145.75480046,2836508.41140569
"1.18.29.89L",1,18,"29","89L",-16.4096111878251,-71.5511225587633,-1942143.21195265,2836504.51346063
"1.18.29.89M",1,18,"29","89M",-16.4095625917464,-71.5511872818371,-1942136.68919307,2836497.81004935
"1.18.29.89N",1,18,"29","89N",-16.4095309772182,-71.5512416229727,-1942132.29169504,2836492.06204686
"1.18.29.89O",1,18,"29","89O",-16.4095075598124,-71.5512861944575,-1942128.97999611,2836487.31464995
"1.18.29.89P",1,18,"29","89P",-16.4094870703502,-71.5513295443694,-1942126.02757555,2836482.66753831
"1.18.29.89Q",1,18,"29","89Q",-16.4094630656146,-71.5513649584289,-1942122.76221502,2836478.96594802
"1.18.29.89R",1,18,"29","89R",-16.4093908488146,-71.5515057060102,-1942112.50784074,2836463.95205879
"1.18.29.91A",1,18,"29","91A",-16.4097682236007,-71.5500081288683,-1942175.69060907,2836628.80398158
"1.18.30.2A",1,18,"30","2A",-16.4045136003766,-71.5687811061362,-1941322.28666197,2834569.15502149
"1.18.30.2B",1,18,"30","2B",-16.4045173997268,-71.5686056639063,-1941324.93938581,2834588.99348824
"1.18.30.2C",1,18,"30","2C",-16.4045229477101,-71.5683279156961,-1941329.08421255,2834620.40652183
"1.18.30.2D",1,18,"30","2D",-16.4045555812504,-71.568144460142,-1941335.22411551,2834640.77770478
"1.18.30.2E",1,18,"30","2E",-16.4045776864151,-71.5679527220852,-1941340.2317529,2834662.22498968
"1.18.30.2F",1,18,"30","2F",-16.4045835908778,-71.5678896484056,-1941341.7184938,2834669.29805474
"1.18.30.2G",1,18,"30","2G",-16.4046022146343,-71.5677423563494,-1941345.75828275,2834685.7523443
"1.18.30.6A",1,18,"30","6A",-16.4054715792547,-71.5661316531688,-1941468.11876693,2834857.01219591
"1.18.30.6B",1,18,"30","6B",-16.4055419186062,-71.5659724830758,-1941478.38189658,2834874.1390216
